city,latitude,longitude,temperature,humidity,cloudiness,max windspeed
abu dhabi,24.47,54.37,17,67,0,3.1
punta arenas,-53.16,-70.91,7,75,75,8.2
qaanaaq,77.48,-69.36,-23.11,84,24,2.42
busselton,-33.64,115.35,24.09,80,0,6.87
lucea,18.44,-78.17,25,73,20,4.6
ushuaia,-54.81,-68.31,7,81,75,12.3
inta,66.04,60.13,-17.74,74,88,1.07
cape town,-33.93,18.42,18,93,20,7.2
punta arenas,-53.16,-70.91,7,75,75,8.2
sumbe,-11.2,13.84,25.37,100,88,1.02
big rapids,43.7,-85.48,-10.21,81,90,1.52
keti bandar,24.14,67.45,18.74,100,0,3.42
victoria,5.28,115.24,29.44,70,75,1
clyde river,70.47,-68.59,-32,74,1,2.1
mar del plata,-46.43,-67.52,14.87,42,24,7.52
mercedes,-33.25,-58.03,24.89,72,20,3.07
san pedro,-33.68,-59.66,23.84,84,8,1.37
pisco,-13.71,-76.2,24,94,75,6.7
makat,47.65,53.35,-15.14,80,24,3.82
ushuaia,-54.81,-68.31,7,81,75,12.3
port elizabeth,39.31,-74.98,-4.01,56,1,1.5
ushuaia,-54.81,-68.31,7,81,75,12.3
hope mills,34.97,-78.95,1.21,49,1,1.5
cape town,-33.93,18.42,18,93,20,7.2
tasiilaq,65.61,-37.64,-14,55,8,0.5
zdvinsk,54.7,78.67,-22.91,68,44,3.67
georgetown,6.8,-58.16,23,94,40,2.1
ponta do sol,-20.63,-46,17.22,95,12,1.47
chuy,-33.69,-53.46,23.39,91,68,1.07
oistins,13.07,-59.53,25,73,40,7.2
cape town,-33.93,18.42,18,93,20,7.2
muros,42.77,-9.06,11.52,93,75,12.3
mahebourg,-20.41,57.7,26,74,75,5.1
cidreira,-30.17,-50.22,25.72,79,12,4.67
arraial do cabo,-22.97,-42.02,23.99,97,36,3.67
thinadhoo,0.53,72.93,28.17,100,24,1.32
hermanus,-34.42,19.24,17.56,95,88,2.02
edgewater,28.99,-80.9,18.49,96,90,3.1
touros,-5.2,-35.46,26,88,40,2.1
dikson,73.51,80.55,-18.39,91,56,10.17
los llanos de aridane,28.66,-17.92,15,82,0,3.6
jamestown,-33.21,138.6,22.34,55,0,2.82
methoni,36.82,21.7,4,93,76,2.1
grand gaube,-20.01,57.66,26,74,75,5.1
castro,-42.48,-73.76,12,71,48,3.6
hermanus,-34.42,19.24,17.56,95,88,2.02
sindor,62.87,51.9,-2.91,91,88,2.92
ushuaia,-54.81,-68.31,7,81,75,12.3
waddan,29.16,16.14,1.14,81,0,1.27
bredasdorp,-34.53,20.04,21,83,92,4.6
jamestown,-33.21,138.6,22.34,55,0,2.82
chuy,-33.69,-53.46,23.39,91,68,1.07
ribeira grande,38.52,-28.7,15.67,100,68,8.92
umea,63.83,20.26,-5,100,90,1.5
carutapera,-1.2,-46.02,23.32,100,80,1.87
qaanaaq,77.48,-69.36,-23.11,84,24,2.42
lerwick,60.15,-1.15,3.5,86,92,5.37
ushuaia,-54.81,-68.31,7,81,75,12.3
east london,-33.02,27.91,21,100,20,1
dhidhdhoo,6.88,73.1,27.89,100,8,2.07
codrington,-28.95,153.24,29.65,51,75,6.2
jamestown,-33.21,138.6,22.34,55,0,2.82
nalut,31.86,10.98,2.34,80,0,1.37
cape town,-33.93,18.42,18,93,20,7.2
arlit,18.74,7.39,10.17,39,0,3.82
busselton,-33.64,115.35,24.09,80,0,6.87
bilma,18.69,12.92,10.09,34,0,5.97
angoche,-16.23,39.91,27.39,100,76,0.82
ribeira grande,38.52,-28.7,15.67,100,68,8.92
phalaborwa,-23.95,31.14,21,88,92,2.1
hithadhoo,-0.6,73.08,28.72,100,64,2.47
clyde river,70.47,-68.59,-32,74,1,2.1
igarka,67.47,86.57,-22.36,65,68,6.92
straumen,63.87,11.3,-1,100,75,1
itarema,-2.92,-39.92,24.47,96,32,3.22
muros,42.77,-9.06,11.52,93,75,12.3
pisco,-13.71,-76.2,24,94,75,6.7
lerwick,60.15,-1.15,3.5,86,92,5.37
margate,-43.03,147.26,21,49,75,7.7
leland,41.61,-88.8,-5.84,75,90,6.2
hermanus,-34.42,19.24,17.56,95,88,2.02
aksu,52.04,76.93,-15,84,90,3
ceyhan,37.03,35.82,9,100,75,4.6
barhi,24.31,85.42,14,67,0,4.6
saint george,39.45,22.34,1.07,70,20,1.02
hermanus,-34.42,19.24,17.56,95,88,2.02
ushuaia,-54.81,-68.31,7,81,75,12.3
jamestown,-33.21,138.6,22.34,55,0,2.82
ichhawar,23.03,77.02,11,50,0,2.6
hithadhoo,-0.6,73.08,28.72,100,64,2.47
rocha,-34.48,-54.34,22.02,88,12,1.22
keflavik,64,-22.56,-4.36,74,0,8.7
agustin codazzi,10.03,-73.24,28,48,20,9.3
kavaratti,10.57,72.64,27.99,100,0,3.57
songea,-10.68,35.65,20,94,75,0.87
chuy,-33.69,-53.46,23.39,91,68,1.07
guanhaes,-18.77,-42.93,18.59,99,80,1.12
hermanus,-34.42,19.24,17.56,95,88,2.02
arraial do cabo,-22.97,-42.02,23.99,97,36,3.67
saint-philippe,45.36,-73.48,-10.43,47,1,7.2
vestmannaeyjar,63.44,-20.27,-0.79,100,0,6.72
nizhnyaya tavda,57.67,66.17,-21.66,76,68,4.12
porto novo,-23.68,-45.44,20,94,40,1.5
paamiut,61.99,-49.67,0.06,89,80,11.02
taltal,-25.41,-70.49,16.47,90,8,0.97
ushuaia,-54.81,-68.31,7,81,75,12.3
klaksvik,62.23,-6.59,3,74,76,10.3
ekibastuz,51.72,75.32,-18.54,68,80,2.62
jamestown,-33.21,138.6,22.34,55,0,2.82
dikson,73.51,80.55,-18.39,91,56,10.17
los llanos de aridane,28.66,-17.92,15,82,0,3.6
marsh harbour,26.54,-77.06,22.87,100,80,9.87
jamestown,-33.21,138.6,22.34,55,0,2.82
ugoofaaru,5.67,73,28.12,100,48,1.77
kudahuvadhoo,2.67,72.89,27.64,100,0,0.77
itarema,-2.92,-39.92,24.47,96,32,3.22
kuusamo,65.96,29.19,-2,100,90,4.6
bredasdorp,-34.53,20.04,21,83,92,4.6
samara,53.2,50.11,-8,85,75,4
dwarka,28.58,77.04,10,93,40,2.1
ushuaia,-54.81,-68.31,7,81,75,12.3
necochea,-38.55,-58.74,15.56,86,0,4.07
qaanaaq,77.48,-69.36,-23.11,84,24,2.42
kuito,-12.38,16.94,15.06,93,48,1.42
ushuaia,-54.81,-68.31,7,81,75,12.3
halvad,23.02,71.18,9.39,54,0,2.92
la palma,5.36,-74.39,19.74,96,80,0.82
klaksvik,62.23,-6.59,3,74,76,10.3
nadym,65.53,72.51,-24.41,78,56,5.07
kruisfontein,-34,24.73,19.52,94,48,1.07
ribeira grande,38.52,-28.7,15.67,100,68,8.92
quatre cocos,-20.21,57.76,26,74,75,5.1
mar del plata,-46.43,-67.52,14.87,42,24,7.52
sambava,-14.27,50.17,25.84,100,64,4.77
ushuaia,-54.81,-68.31,7,81,75,12.3
east london,-33.02,27.91,21,100,20,1
rosita,13.92,-84.4,21.34,92,20,1.72
ushuaia,-54.81,-68.31,7,81,75,12.3
bredasdorp,-34.53,20.04,21,83,92,4.6
cidreira,-30.17,-50.22,25.72,79,12,4.67
muros,42.77,-9.06,11.52,93,75,12.3
saint-philippe,45.36,-73.48,-10.43,47,1,7.2
saint-philippe,45.36,-73.48,-10.43,47,1,7.2
ushuaia,-54.81,-68.31,7,81,75,12.3
harer,42.19,-111.17,-11.1,84,40,1.87
lebu,8.96,38.73,4.64,86,0,1.17
mar del plata,-46.43,-67.52,14.87,42,24,7.52
marzuq,14.4,46.47,5.64,98,12,1.02
vestmannaeyjar,63.44,-20.27,-0.79,100,0,6.72
camacha,33.08,-16.33,16,59,75,2.6
jatara,25.01,79.05,11.59,51,0,1.87
luderitz,-26.65,15.16,17.06,94,12,4.87
leh,34.16,77.58,-26.66,70,76,0.47
faya,18.39,42.45,13,93,0,2.1
souillac,45.6,-0.6,12,71,0,7.7
henties bay,-22.12,14.28,17.31,100,92,2.37
changji,32.07,116.17,-0.16,88,92,3.27
mehamn,71.03,27.85,-17.91,100,12,1.62
maceio,-9.67,-35.74,24,88,40,1.5
hamilton,43.26,-79.87,-7.91,78,20,2.6
chuy,-33.69,-53.46,23.39,91,68,1.07
ushuaia,-54.81,-68.31,7,81,75,12.3
bredasdorp,-34.53,20.04,21,83,92,4.6
narsaq,60.91,-46.05,-2,63,32,19
bredasdorp,-34.53,20.04,21,83,92,4.6
torbay,47.66,-52.73,-11,66,75,15.4
cidreira,-30.17,-50.22,25.72,79,12,4.67
dharchula,29.85,80.53,-1.36,55,0,0.82
tasiilaq,65.61,-37.64,-14,55,8,0.5
longyearbyen,78.22,15.63,-11,61,20,6.2
saint george,39.45,22.34,1.07,70,20,1.02
hermanus,-34.42,19.24,17.56,95,88,2.02
ushuaia,-54.81,-68.31,7,81,75,12.3
neustadt,47.05,8.31,2.38,86,40,2.1
margate,-43.03,147.26,21,49,75,7.7
harindanga,22.04,88.32,18,72,0,5.1
harper,30.3,-99.24,2.82,93,90,1.5
busselton,-33.64,115.35,24.09,80,0,6.87
ushuaia,-54.81,-68.31,7,81,75,12.3
lagoa,37.14,-8.45,8,93,20,1.5
ushuaia,-54.81,-68.31,7,81,75,12.3
damietta,31.42,31.81,12,87,0,3.6
meulaboh,4.14,96.13,27.02,100,12,0.82
kristianstad,56.03,14.16,6,75,36,7.7
ilulissat,69.22,-51.1,-13,65,20,4.1
caravelas,-17.73,-39.27,27.82,100,64,5.62
mahebourg,-20.41,57.7,26,74,75,5.1
axim,4.87,-2.24,27.57,99,0,1.42
sao joao da barra,-21.64,-41.05,25.92,100,24,5.27
torbay,47.66,-52.73,-11,66,75,15.4
jamestown,-33.21,138.6,22.34,55,0,2.82
hithadhoo,-0.6,73.08,28.72,100,64,2.47
druskininkai,54.02,23.98,1,97,0,3
zenzeli,45.92,47.05,-6.09,73,80,3.77
port elizabeth,39.31,-74.98,-4.01,56,1,1.5
nacala,-14.56,40.69,25.89,100,76,1.32
ushuaia,-54.81,-68.31,7,81,75,12.3
autun,46.95,4.3,8.98,66,0,5.7
peruibe,-24.32,-47,26.62,100,12,9.67
port alfred,-33.59,26.89,22.09,94,100,1.32
manono,-7.3,27.4,20.99,100,92,1.87
port alfred,-33.59,26.89,22.09,94,100,1.32
ushuaia,-54.81,-68.31,7,81,75,12.3
pangnirtung,66.15,-65.72,-22.41,48,56,1.87
torbay,47.66,-52.73,-11,66,75,15.4
bandarbeyla,9.49,50.81,24.42,100,80,5.02
port elizabeth,39.31,-74.98,-4.01,56,1,1.5
punta arenas,-53.16,-70.91,7,75,75,8.2
blagoyevo,63.37,47.92,-1.89,93,64,2.42
punta arenas,-53.16,-70.91,7,75,75,8.2
port elizabeth,39.31,-74.98,-4.01,56,1,1.5
busselton,-33.64,115.35,24.09,80,0,6.87
salvador,-12.98,-38.48,28,83,20,5.1
ushuaia,-54.81,-68.31,7,81,75,12.3
ancud,-41.87,-73.83,12,71,48,3.6
touros,-5.2,-35.46,26,88,40,2.1
isla mujeres,21.23,-86.73,23,100,75,4.1
novyy urengoy,66.08,76.63,-23.49,72,88,6.37
upata,8.02,-62.41,23.77,64,0,4.47
galashki,43.1,44.99,0,96,90,3
hamilton,43.26,-79.87,-7.91,78,20,2.6
cockburn town,21.46,-71.14,24.87,100,92,8.37
energetik,51.74,58.8,-17.29,72,64,3.82
nanortalik,60.14,-45.24,-0.86,89,68,19.62
azanka,58.04,64.79,-18.89,83,76,2.72
horta,41.43,2.16,7.49,81,20,0.5
ushuaia,-54.81,-68.31,7,81,75,12.3
ribeira grande,38.52,-28.7,15.67,100,68,8.92
tasiilaq,65.61,-37.64,-14,55,8,0.5
cururupu,-1.82,-44.87,22.09,100,80,1.22
upernavik,72.79,-56.15,-15.26,100,76,3.67
kaupanger,61.18,7.24,-8.01,100,68,0.77
taoudenni,22.68,-3.98,13.97,21,76,4.72
lebu,8.96,38.73,4.64,86,0,1.17
port alfred,-33.59,26.89,22.09,94,100,1.32
dikson,73.51,80.55,-18.39,91,56,10.17
bambous virieux,-20.34,57.76,26,74,75,5.1
bredasdorp,-34.53,20.04,21,83,92,4.6
tasiilaq,65.61,-37.64,-14,55,8,0.5
chuy,-33.69,-53.46,23.39,91,68,1.07
cape town,-33.93,18.42,18,93,20,7.2
antofagasta,-23.65,-70.4,20,82,0,3.6
ribeira grande,38.52,-28.7,15.67,100,68,8.92
mehamn,71.03,27.85,-17.91,100,12,1.62
carnarvon,-30.97,22.13,17.14,89,92,1.97
chapeco,-27.1,-52.62,23.34,80,56,1.92
port alfred,-33.59,26.89,22.09,94,100,1.32
johi,26.69,67.61,10.22,91,36,1.87
ushuaia,-54.81,-68.31,7,81,75,12.3
aksarka,66.56,67.8,-22.36,65,56,5.82
salalah,17.01,54.1,23,60,75,3.6
morondava,-20.3,44.28,25.12,100,68,1.87
padang,-0.92,100.36,28,78,40,1.5
hermanus,-34.42,19.24,17.56,95,88,2.02
mahebourg,-20.41,57.7,26,74,75,5.1
busselton,-33.64,115.35,24.09,80,0,6.87
telimele,10.9,-13.03,18.24,83,12,1.27
real,14.67,121.6,29,70,40,3.1
mosquera,4.71,-74.23,14,87,75,1.5
mahebourg,-20.41,57.7,26,74,75,5.1
port elizabeth,39.31,-74.98,-4.01,56,1,1.5
amantea,39.13,16.07,3.03,100,20,4.1
potosi,-19.59,-65.75,3.49,98,64,1.07
busselton,-33.64,115.35,24.09,80,0,6.87
ushuaia,-54.81,-68.31,7,81,75,12.3
qaanaaq,77.48,-69.36,-23.11,84,24,2.42
estelle,32.87,-97.01,1.55,100,90,2.1
ponta do sol,-20.63,-46,17.22,95,12,1.47
cayenne,4.94,-52.33,26,83,75,3.1
arraial do cabo,-22.97,-42.02,23.99,97,36,3.67
sinnamary,5.38,-52.96,26.34,95,92,5.87
dingle,11,122.67,25.87,87,48,6.12
mecca,21.43,39.83,16.02,62,0,2.02
bogatynia,50.91,14.95,1.56,92,36,4.47
lasa,34.92,32.53,12.43,71,75,6.7
souillac,45.6,-0.6,12,71,0,7.7
strezhevoy,60.73,77.6,-23,76,76,4
cape town,-33.93,18.42,18,93,20,7.2
hermanus,-34.42,19.24,17.56,95,88,2.02
atasu,48.68,71.64,-16.39,73,44,3.67
bilma,18.69,12.92,10.09,34,0,5.97
busselton,-33.64,115.35,24.09,80,0,6.87
melito di porto salvo,37.92,15.77,11,87,20,1.5
arlit,18.74,7.39,10.17,39,0,3.82
busselton,-33.64,115.35,24.09,80,0,6.87
chapais,49.78,-74.86,-18,70,90,4.1
iskateley,67.68,53.15,-9.11,84,88,5.52
arraial do cabo,-22.97,-42.02,23.99,97,36,3.67
port elizabeth,39.31,-74.98,-4.01,56,1,1.5
port elizabeth,39.31,-74.98,-4.01,56,1,1.5
ushuaia,-54.81,-68.31,7,81,75,12.3
kimparana,12.83,-4.92,17.06,29,0,4.47
busselton,-33.64,115.35,24.09,80,0,6.87
mahebourg,-20.41,57.7,26,74,75,5.1
am timan,11.04,20.28,21.22,32,0,3.52
ushuaia,-54.81,-68.31,7,81,75,12.3
jamestown,-33.21,138.6,22.34,55,0,2.82
coquimbo,-29.95,-71.34,16,93,20,2.6
ushuaia,-54.81,-68.31,7,81,75,12.3
oksfjord,70.24,22.35,-8.85,78,56,7.2
dikson,73.51,80.55,-18.39,91,56,10.17
ushuaia,-54.81,-68.31,7,81,75,12.3
jaleswar,21.8,87.22,17.81,80,0,5.22
muros,42.77,-9.06,11.52,93,75,12.3
lebu,8.96,38.73,4.64,86,0,1.17
ushuaia,-54.81,-68.31,7,81,75,12.3
iqaluit,63.75,-68.52,-14,60,75,4.6
qaanaaq,77.48,-69.36,-23.11,84,24,2.42
ribeira grande,38.52,-28.7,15.67,100,68,8.92
sambava,-14.27,50.17,25.84,100,64,4.77
slonim,53.09,25.32,1.56,94,56,5.67
ushuaia,-54.81,-68.31,7,81,75,12.3
buchanan,5.88,-10.05,24,94,40,1.37
ushuaia,-54.81,-68.31,7,81,75,12.3
marawi,8,124.29,29.17,53,32,0.77
padang,-0.92,100.36,28,78,40,1.5
yelandur,12.07,77.03,19.27,100,56,1.77
qaanaaq,77.48,-69.36,-23.11,84,24,2.42
asyut,27.18,31.19,6.56,85,48,1.87
dakoro,14.51,6.76,13.72,35,0,6.27
algiers,29.94,-90.04,12.6,57,1,1.5
saint-philippe,45.36,-73.48,-10.43,47,1,7.2
ushuaia,-54.81,-68.31,7,81,75,12.3
atar,20.52,-13.05,16.39,25,48,2.22
coquimbo,-29.95,-71.34,16,93,20,2.6
greenwood,34.2,-82.16,5.21,32,1,4.1
ushuaia,-54.81,-68.31,7,81,75,12.3
ushuaia,-54.81,-68.31,7,81,75,12.3
cape town,-33.93,18.42,18,93,20,7.2
luderitz,-26.65,15.16,17.06,94,12,4.87
cidreira,-30.17,-50.22,25.72,79,12,4.67
hithadhoo,-0.6,73.08,28.72,100,64,2.47
wattegama,7.35,80.68,22.32,92,80,1.47
tasiilaq,65.61,-37.64,-14,55,8,0.5
ushuaia,-54.81,-68.31,7,81,75,12.3
karachi,24.87,67.03,13,54,8,2.62
ilulissat,69.22,-51.1,-13,65,20,4.1
bela,26.23,66.31,5.17,63,0,0.92
ati,13.21,18.34,16.84,34,0,4.97
port alfred,-33.59,26.89,22.09,94,100,1.32
fianarantsoa,-21.45,47.09,15.64,96,76,1.12
adrar,27.87,-0.29,8,33,0,3.6
qaanaaq,77.48,-69.36,-23.11,84,24,2.42
qaanaaq,77.48,-69.36,-23.11,84,24,2.42
qaanaaq,77.48,-69.36,-23.11,84,24,2.42
ribeira grande,38.52,-28.7,15.67,100,68,8.92
busselton,-33.64,115.35,24.09,80,0,6.87
chuy,-33.69,-53.46,23.39,91,68,1.07
cap malheureux,-19.98,57.61,26,74,75,5.1
meulaboh,4.14,96.13,27.02,100,12,0.82
ribeira grande,38.52,-28.7,15.67,100,68,8.92
hambantota,6.12,81.12,28,83,0,2.6
beyneu,45.32,55.19,-9.76,80,88,3.87
sorland,67.67,12.69,0.49,100,88,5.22
lebu,8.96,38.73,4.64,86,0,1.17
dikson,73.51,80.55,-18.39,91,56,10.17
mar del plata,-46.43,-67.52,14.87,42,24,7.52
touros,-5.2,-35.46,26,88,40,2.1
port elizabeth,39.31,-74.98,-4.01,56,1,1.5
port elizabeth,39.31,-74.98,-4.01,56,1,1.5
taoudenni,22.68,-3.98,13.97,21,76,4.72
adrar,27.87,-0.29,8,33,0,3.6
qaanaaq,77.48,-69.36,-23.11,84,24,2.42
bredasdorp,-34.53,20.04,21,83,92,4.6
busselton,-33.64,115.35,24.09,80,0,6.87
saint-philippe,45.36,-73.48,-10.43,47,1,7.2
brody,50.08,25.14,-2.51,90,48,4.42
mahebourg,-20.41,57.7,26,74,75,5.1
saldanha,41.42,-6.55,6.59,96,92,5.02
ushuaia,-54.81,-68.31,7,81,75,12.3
derzhavinsk,51.1,66.31,-20.24,79,44,1.77
pirenopolis,-15.85,-48.96,19,100,75,1
bayir,37.27,28.22,5,93,0,1.5
punta arenas,-53.16,-70.91,7,75,75,8.2
busselton,-33.64,115.35,24.09,80,0,6.87
ostrovnoy,68.05,39.51,-10.66,87,44,5.12
henties bay,-22.12,14.28,17.31,100,92,2.37
busselton,-33.64,115.35,24.09,80,0,6.87
upernavik,72.79,-56.15,-15.26,100,76,3.67
georgetown,6.8,-58.16,23,94,40,2.1
gat,14.69,-16.54,21,35,12,4.6
ventspils,57.39,21.56,4,93,90,9.3
arnedo,42.23,-2.1,7.67,93,88,1.5
muyezerskiy,63.93,31.65,0.62,86,92,4.47
manchar,19,73.94,9.27,66,0,1.12
dingle,11,122.67,25.87,87,48,6.12
port elizabeth,39.31,-74.98,-4.01,56,1,1.5
lajas,22.41,-80.29,20.47,88,8,2.6
codrington,-28.95,153.24,29.65,51,75,6.2
luderitz,-26.65,15.16,17.06,94,12,4.87
qaanaaq,77.48,-69.36,-23.11,84,24,2.42
marsa matruh,31.35,27.25,8.64,94,68,3.37
hermanus,-34.42,19.24,17.56,95,88,2.02
east london,-33.02,27.91,21,100,20,1
port alfred,-33.59,26.89,22.09,94,100,1.32
aras,14.28,44.38,2.14,67,0,0.37
dalvik,57.79,14.13,4,86,88,8.7
hithadhoo,-0.6,73.08,28.72,100,64,2.47
opuwo,-18.06,13.84,15.27,49,0,1.67
mahebourg,-20.41,57.7,26,74,75,5.1
nayagarh,20.13,85.1,19.49,67,0,1.97
arlit,18.74,7.39,10.17,39,0,3.82
zemio,5.02,25.13,22.62,72,12,2.37
cidreira,-30.17,-50.22,25.72,79,12,4.67
itarema,-2.92,-39.92,24.47,96,32,3.22
vieux-habitants,16.06,-61.77,21,94,0,6.32
assare,-6.87,-39.88,24.12,54,44,1.47
upernavik,72.79,-56.15,-15.26,100,76,3.67
ushuaia,-54.81,-68.31,7,81,75,12.3
punta arenas,-53.16,-70.91,7,75,75,8.2
ayagoz,47.96,80.43,-19.14,67,80,1.82
novosheshminsk,55.06,51.22,-6.51,91,80,4.42
